number,gender,age,family,education,years_of_service,salary,sat_management,sat_colleques,sat_workingEnvironment,sat_salary,sat_tasks,healtcare,holidayCabin,gym,muscleCare
1,1,38,1,1.0,22.0,3587,3,3.0,3,3,3,,,,
2,1,29,2,2.0,10.0,2963,1,5.0,2,1,3,,,,
3,1,30,1,1.0,7.0,1989,3,4.0,1,1,3,1.0,,,
4,1,36,2,1.0,14.0,2144,3,3.0,3,3,3,1.0,,,
5,1,24,1,2.0,4.0,2183,2,3.0,2,1,2,1.0,,,
6,2,31,2,2.0,14.0,1910,4,4.0,5,2,4,1.0,1.0,,
7,1,49,1,2.0,16.0,2066,3,5.0,4,2,2,,,1.0,
8,1,55,1,1.0,0.0,2066,3,5.0,3,1,3,1.0,,,
9,1,40,2,1.0,23.0,2768,2,4.0,4,2,4,,1.0,,
10,1,33,1,1.0,16.0,2106,3,2.0,1,1,1,1.0,,,
11,1,39,2,1.0,22.0,2651,3,5.0,3,1,3,,,,
12,1,40,2,3.0,21.0,2846,3,5.0,3,1,2,,1.0,,1.0
13,1,35,2,3.0,15.0,2808,3,5.0,3,1,4,,1.0,,
14,1,58,2,3.0,21.0,3587,4,5.0,4,1,3,,,,
15,1,53,2,3.0,12.0,3393,4,4.0,4,4,4,,1.0,,
16,2,42,2,3.0,23.0,2691,3,3.0,3,3,3,1.0,,,1.0
17,1,26,1,4.0,2.0,5225,5,5.0,5,4,5,,,1.0,
18,2,38,2,3.0,17.0,2729,4,3.0,4,2,1,,,,
19,1,42,1,3.0,20.0,2925,2,3.0,4,1,4,1.0,,,1.0
20,2,40,2,2.0,13.0,2457,3,3.0,4,3,2,1.0,,,1.0
21,2,40,2,3.0,20.0,2691,2,4.0,5,3,4,,,,
22,1,47,2,3.0,17.0,4874,2,4.0,3,2,4,,1.0,,
23,1,44,2,1.0,27.0,3510,4,4.0,4,4,4,,1.0,,
24,1,36,1,3.0,7.0,4446,3,4.0,3,4,5,,,,
25,1,43,2,3.0,1.0,2925,4,4.0,4,4,4,,1.0,,
26,1,26,1,2.0,3.0,1521,2,4.0,2,1,3,1.0,,1.0,1.0
27,1,26,1,2.0,2.0,1989,2,4.0,2,2,3,1.0,,,1.0
28,2,56,1,1.0,15.0,2223,3,4.0,3,2,4,1.0,,,1.0
29,1,47,2,2.0,23.0,2808,2,4.0,3,1,4,1.0,,,
30,1,21,1,,,1949,4,4.0,3,3,2,1.0,,,
31,1,21,1,3.0,1.0,2340,4,5.0,3,4,2,1.0,,1.0,1.0
32,1,45,2,1.0,24.0,2925,4,4.0,4,3,4,,1.0,,
33,1,59,2,3.0,15.0,6278,4,4.0,5,4,4,,1.0,,
34,1,37,2,1.0,14.0,2183,1,5.0,1,1,2,1.0,,,1.0
35,1,28,2,2.0,5.0,1989,3,4.0,3,3,3,1.0,,1.0,1.0
36,1,31,2,3.0,0.0,1559,2,4.0,3,1,3,1.0,,,
37,2,56,2,2.0,17.0,2729,5,5.0,5,5,5,,,,1.0
38,1,50,2,1.0,1.0,2027,5,5.0,4,1,4,1.0,1.0,,
39,1,30,1,2.0,10.0,2300,3,5.0,3,3,4,,,,
40,1,32,1,1.0,3.0,2106,1,5.0,4,1,3,1.0,,,
41,1,33,2,3.0,9.0,2846,3,3.0,4,2,3,1.0,,,
42,1,29,1,2.0,6.0,2534,3,4.0,3,1,2,1.0,,,
43,2,40,2,3.0,12.0,2144,4,4.0,4,4,4,,1.0,,
44,1,30,1,2.0,7.0,2223,2,3.0,4,1,3,1.0,,,1.0
45,1,55,2,1.0,35.0,2651,4,5.0,4,2,4,1.0,,,1.0
46,2,51,2,1.0,28.0,1989,3,3.0,2,2,3,1.0,,,1.0
47,2,22,1,3.0,21.0,1872,3,3.0,4,1,3,,,1.0,
48,1,34,2,1.0,18.0,2183,4,5.0,4,1,3,,,,
49,1,27,2,2.0,7.0,2729,4,4.0,3,3,5,,,1.0,
50,1,29,1,3.0,7.0,2340,3,4.0,3,2,3,1.0,,,
51,2,39,2,2.0,10.0,2106,4,5.0,5,4,5,,1.0,,
52,1,41,2,1.0,18.0,2261,5,5.0,5,2,5,,1.0,,
53,1,44,2,1.0,3.0,1989,1,2.0,2,1,1,1.0,,,
54,1,25,1,2.0,1.0,1559,2,4.0,3,1,2,1.0,,,
55,2,45,2,1.0,17.0,2417,3,5.0,4,3,3,,,,1.0
56,2,31,2,1.0,6.0,1949,4,4.0,4,3,3,1.0,,,1.0
57,1,61,2,2.0,36.0,3119,2,,2,1,5,1.0,,,1.0
58,1,38,2,2.0,,2574,2,3.0,1,1,2,1.0,,,1.0
59,1,20,1,2.0,1.0,2261,3,4.0,3,2,3,,,,
60,1,31,1,1.0,10.0,2144,4,4.0,3,1,3,1.0,,,
61,1,44,1,1.0,19.0,2183,2,2.0,1,1,2,1.0,,,
62,1,40,2,1.0,0.0,1872,2,3.0,1,2,3,1.0,,,
63,2,51,2,2.0,10.0,1872,4,3.0,2,2,3,1.0,,,
64,2,44,1,2.0,1.0,1715,4,4.0,3,2,3,1.0,,,1.0
65,2,35,2,2.0,17.0,2691,4,4.0,5,2,4,1.0,,,1.0
66,2,37,2,1.0,16.0,2027,5,5.0,5,4,5,1.0,1.0,,
67,1,37,2,4.0,8.0,5069,3,4.0,3,2,2,1.0,1.0,,1.0
68,1,33,2,3.0,7.0,2417,2,4.0,3,1,4,,,,
69,1,28,2,2.0,1.0,3510,4,5.0,3,1,4,,,,
70,1,52,2,2.0,22.0,3119,3,4.0,3,2,2,1.0,1.0,,1.0
71,1,34,2,2.0,1.0,2495,3,5.0,5,3,4,,1.0,,
72,1,46,2,2.0,23.0,3470,3,5.0,5,3,4,,1.0,,
